model,hit,merge,hit_ms,merge_ms,agree
chain_unary_n4_k1_nondef_mix_i11.model,DEFINABLE,DEFINABLE,0.346,0.061,1
chain_unary_n4_k1_nondef_mix_i12.model,DEFINABLE,DEFINABLE,0.268,0.074,1
chain_unary_n4_k1_nondef_mix_i13.model,DEFINABLE,DEFINABLE,0.321,0.059,1
chain_unary_n4_k1_nondef_mix_i14.model,DEFINABLE,DEFINABLE,0.314,0.085,1
chain_unary_n4_k1_nondef_mix_i15.model,DEFINABLE,DEFINABLE,0.325,0.059,1
chain_unary_n4_k1_nondef_mix_i16.model,DEFINABLE,DEFINABLE,0.271,0.058,1
chain_unary_n4_k1_nondef_mix_i17.model,DEFINABLE,DEFINABLE,0.373,0.055,1
chain_unary_n4_k1_nondef_mix_i18.model,DEFINABLE,DEFINABLE,0.419,0.086,1
chain_unary_n4_k1_nondef_mix_i19.model,DEFINABLE,DEFINABLE,0.251,0.082,1
chain_unary_n4_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.306,0.072,1
chain_unary_n4_k1_nondef_mix_i20.model,DEFINABLE,DEFINABLE,0.301,0.052,1
chain_unary_n4_k1_nondef_mix_i21.model,DEFINABLE,DEFINABLE,0.330,0.054,1
chain_unary_n4_k1_nondef_mix_i22.model,DEFINABLE,DEFINABLE,0.357,0.093,1
chain_unary_n4_k1_nondef_mix_i23.model,DEFINABLE,DEFINABLE,0.267,0.056,1
chain_unary_n4_k1_nondef_mix_i24.model,DEFINABLE,DEFINABLE,0.293,0.056,1
chain_unary_n4_k1_nondef_mix_i25.model,DEFINABLE,DEFINABLE,0.270,0.056,1
chain_unary_n4_k1_nondef_mix_i26.model,DEFINABLE,DEFINABLE,0.274,0.073,1
chain_unary_n4_k1_nondef_mix_i27.model,DEFINABLE,DEFINABLE,0.325,0.083,1
chain_unary_n4_k1_nondef_mix_i28.model,DEFINABLE,DEFINABLE,0.353,0.066,1
chain_unary_n4_k1_nondef_mix_i29.model,DEFINABLE,DEFINABLE,0.329,0.071,1
chain_unary_n4_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.296,0.054,1
chain_unary_n4_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.312,0.082,1
chain_unary_n4_k1_nondef_mix_i5.model,DEFINABLE,DEFINABLE,0.261,0.056,1
chain_unary_n4_k1_nondef_mix_i6.model,DEFINABLE,DEFINABLE,0.243,0.059,1
chain_unary_n4_k1_nondef_mix_i7.model,DEFINABLE,DEFINABLE,0.445,0.055,1
chain_unary_n4_k1_nondef_mix_i8.model,DEFINABLE,DEFINABLE,0.345,0.053,1
chain_unary_n4_k1_nondef_mix_i9.model,DEFINABLE,DEFINABLE,0.273,0.057,1
chain_unary_n64_k1_definable_fixed_i0.model,DEFINABLE,DEFINABLE,11.062,6.056,1
chain_unary_n64_k1_definable_fixed_i1.model,DEFINABLE,DEFINABLE,11.102,5.591,1
chain_unary_n64_k1_definable_fixed_i10.model,DEFINABLE,DEFINABLE,11.146,5.674,1
chain_unary_n64_k1_definable_fixed_i11.model,DEFINABLE,DEFINABLE,11.188,5.620,1
chain_unary_n64_k1_definable_fixed_i12.model,DEFINABLE,DEFINABLE,11.253,5.589,1
chain_unary_n64_k1_definable_fixed_i13.model,DEFINABLE,DEFINABLE,10.907,5.656,1
chain_unary_n64_k1_definable_fixed_i14.model,DEFINABLE,DEFINABLE,11.182,6.044,1
chain_unary_n64_k1_definable_fixed_i15.model,DEFINABLE,DEFINABLE,10.994,5.641,1
chain_unary_n64_k1_definable_fixed_i16.model,DEFINABLE,DEFINABLE,11.102,5.901,1
chain_unary_n64_k1_definable_fixed_i17.model,DEFINABLE,DEFINABLE,11.109,5.780,1
chain_unary_n64_k1_definable_fixed_i18.model,DEFINABLE,DEFINABLE,11.006,5.764,1
chain_unary_n64_k1_definable_fixed_i19.model,DEFINABLE,DEFINABLE,10.925,5.633,1
chain_unary_n64_k1_definable_fixed_i2.model,DEFINABLE,DEFINABLE,11.064,5.649,1
chain_unary_n64_k1_definable_fixed_i20.model,DEFINABLE,DEFINABLE,10.986,5.677,1
chain_unary_n64_k1_definable_fixed_i21.model,DEFINABLE,DEFINABLE,11.075,5.960,1
chain_unary_n64_k1_definable_fixed_i22.model,DEFINABLE,DEFINABLE,10.869,5.587,1
chain_unary_n64_k1_definable_fixed_i23.model,DEFINABLE,DEFINABLE,10.969,5.649,1
chain_unary_n64_k1_definable_fixed_i24.model,DEFINABLE,DEFINABLE,10.923,5.753,1
chain_unary_n64_k1_definable_fixed_i25.model,DEFINABLE,DEFINABLE,11.123,5.623,1
chain_unary_n64_k1_definable_fixed_i26.model,DEFINABLE,DEFINABLE,10.984,5.646,1
chain_unary_n64_k1_definable_fixed_i27.model,DEFINABLE,DEFINABLE,10.954,5.606,1
chain_unary_n64_k1_definable_fixed_i28.model,DEFINABLE,DEFINABLE,11.246,5.636,1
chain_unary_n64_k1_definable_fixed_i29.model,DEFINABLE,DEFINABLE,11.018,5.796,1
chain_unary_n64_k1_definable_fixed_i3.model,DEFINABLE,DEFINABLE,11.066,5.636,1
chain_unary_n64_k1_definable_fixed_i4.model,DEFINABLE,DEFINABLE,11.153,5.808,1
chain_unary_n64_k1_definable_fixed_i5.model,DEFINABLE,DEFINABLE,11.048,5.601,1
chain_unary_n64_k1_definable_fixed_i6.model,DEFINABLE,DEFINABLE,11.029,5.622,1
chain_unary_n64_k1_definable_fixed_i7.model,DEFINABLE,DEFINABLE,11.073,5.884,1
chain_unary_n64_k1_definable_fixed_i8.model,DEFINABLE,DEFINABLE,10.898,6.149,1
chain_unary_n64_k1_definable_fixed_i9.model,DEFINABLE,DEFINABLE,10.990,5.823,1
chain_unary_n64_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,11.322,5.585,1
chain_unary_n64_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,11.529,5.644,1
chain_unary_n64_k1_nondef_mix_i10.model,DEFINABLE,DEFINABLE,11.291,5.616,1
chain_unary_n64_k1_nondef_mix_i11.model,DEFINABLE,DEFINABLE,11.441,5.676,1
chain_unary_n64_k1_nondef_mix_i12.model,DEFINABLE,DEFINABLE,11.398,6.330,1
chain_unary_n64_k1_nondef_mix_i13.model,DEFINABLE,DEFINABLE,11.429,5.618,1
chain_unary_n64_k1_nondef_mix_i14.model,DEFINABLE,DEFINABLE,11.365,5.872,1
chain_unary_n64_k1_nondef_mix_i15.model,DEFINABLE,DEFINABLE,11.386,5.712,1
