model,hit,merge,hit_ms,merge_ms,agree
random_magma_n4_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.063,0.101,1
random_magma_n4_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.058,0.099,1
random_magma_n4_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.058,0.108,1
random_magma_n4_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.058,0.119,1
random_magma_n4_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.037,0.099,1
random_magma_n4_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.452,0.147,1
random_magma_n4_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.486,0.158,1
random_magma_n4_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.399,0.185,1
random_magma_n4_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.488,0.149,1
random_magma_n4_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.409,0.161,1
random_magma_n4_k2_random_half_i0.model,DEFINABLE,DEFINABLE,0.410,0.154,1
random_magma_n4_k2_random_half_i1.model,NOT_DEFINABLE,NOT_DEFINABLE,0.269,0.093,1
random_magma_n4_k2_random_half_i2.model,NOT_DEFINABLE,NOT_DEFINABLE,0.041,0.155,1
random_magma_n4_k2_random_half_i3.model,DEFINABLE,DEFINABLE,0.434,0.152,1
random_magma_n4_k2_random_half_i4.model,DEFINABLE,DEFINABLE,0.403,0.176,1
random_magma_n8_k1_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.409,0.297,1
random_magma_n8_k1_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.496,0.279,1
random_magma_n8_k1_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.309,0.270,1
random_magma_n8_k1_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.331,0.254,1
random_magma_n8_k1_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.409,0.237,1
random_magma_n8_k1_nondef_mix_i0.model,DEFINABLE,DEFINABLE,0.393,0.257,1
random_magma_n8_k1_nondef_mix_i1.model,DEFINABLE,DEFINABLE,0.410,0.258,1
random_magma_n8_k1_nondef_mix_i2.model,DEFINABLE,DEFINABLE,0.468,0.231,1
random_magma_n8_k1_nondef_mix_i3.model,DEFINABLE,DEFINABLE,0.330,0.429,1
random_magma_n8_k1_nondef_mix_i4.model,DEFINABLE,DEFINABLE,0.500,0.399,1
random_magma_n8_k1_random_half_i0.model,DEFINABLE,DEFINABLE,0.421,0.304,1
random_magma_n8_k1_random_half_i1.model,NOT_DEFINABLE,NOT_DEFINABLE,0.091,0.347,1
random_magma_n8_k1_random_half_i2.model,DEFINABLE,DEFINABLE,0.390,0.263,1
random_magma_n8_k1_random_half_i3.model,DEFINABLE,DEFINABLE,0.334,0.331,1
random_magma_n8_k1_random_half_i4.model,NOT_DEFINABLE,NOT_DEFINABLE,0.102,0.174,1
random_magma_n8_k2_definable_eq_i0.model,DEFINABLE,DEFINABLE,0.173,0.209,1
random_magma_n8_k2_definable_eq_i1.model,DEFINABLE,DEFINABLE,0.228,0.215,1
random_magma_n8_k2_definable_eq_i2.model,DEFINABLE,DEFINABLE,0.166,0.188,1
random_magma_n8_k2_definable_eq_i3.model,DEFINABLE,DEFINABLE,0.187,0.199,1
random_magma_n8_k2_definable_eq_i4.model,DEFINABLE,DEFINABLE,0.231,0.251,1
random_magma_n8_k2_nondef_mix_i0.model,DEFINABLE,DEFINABLE,2.777,1.132,1
random_magma_n8_k2_nondef_mix_i1.model,DEFINABLE,DEFINABLE,3.378,1.230,1
random_magma_n8_k2_nondef_mix_i2.model,DEFINABLE,DEFINABLE,2.615,1.191,1
random_magma_n8_k2_nondef_mix_i3.model,DEFINABLE,DEFINABLE,2.779,1.240,1
random_magma_n8_k2_nondef_mix_i4.model,DEFINABLE,DEFINABLE,3.132,1.224,1
random_magma_n8_k2_random_half_i0.model,DEFINABLE,DEFINABLE,3.267,1.202,1
random_magma_n8_k2_random_half_i1.model,NOT_DEFINABLE,NOT_DEFINABLE,0.077,1.230,1
random_magma_n8_k2_random_half_i2.model,DEFINABLE,DEFINABLE,3.081,1.188,1
random_magma_n8_k2_random_half_i3.model,DEFINABLE,DEFINABLE,2.664,1.102,1
random_magma_n8_k2_random_half_i4.model,DEFINABLE,DEFINABLE,4.008,1.184,1
